Type,Group,Maker/Brand,Jan.,Feb.,Mar.,Apr.,May,Jun.,First Half(Jan.-Jun.),Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Second Half(Jul.-Dec.,Adjusted value,Total
,Aston Martin,Aston Martin (2008-),30,47,60,40,31,35,243,26,23,27,26,16,27,145,0,388
,,Aston Martin Total,30,47,60,40,31,35,243,26,23,27,26,16,27,145,0,388
,SAIC (Shanghai Automotive Industry Corporation (Group)),Rover,0,1,0,0,1,0,2,0,1,0,1,1,1,4,0,6
,,SAIC (Shanghai Automotive Industry Corporation (Group)) Total,0,1,0,0,1,0,2,0,1,0,1,1,1,4,0,6
,Small and Medium OEM,McLaren,13,15,17,14,19,20,98,15,16,15,15,18,12,91,0,189
,,Morgan,0,2,1,0,0,1,4,2,0,0,0,0,0,2,0,6
,,Other,14,79,586,62,501,593,"1,835",443,525,536,409,557,891,"3,361",0,"5,196"
,,Small and Medium OEM Total,27,96,604,76,520,614,"1,937",460,541,551,424,575,903,"3,454",0,"5,391"
,,Cars Total,"128,486","137,353","196,561","104,633","100,393","124,265","791,691","123,616","103,040","108,787","89,497","111,901","118,123","654,964",0,"1,446,655"
Minivan,Toyota Group,Toyota,628,721,946,"1,188","1,021",811,"5,315",710,874,952,723,568,155,"3,982",0,"9,297"
,,Daihatsu,"4,906","5,634","7,320","5,712","4,915","7,582","36,069","6,619","4,652","6,118","5,693","7,331","6,699","37,112",0,"73,181"
,,Toyota Group Total,"5,534","6,355","8,266","6,900","5,936","8,393","41,384","7,329","5,526","7,070","6,416","7,899","6,854","41,094",0,"82,478"
,Renault-Nissan Alliance,Nissan,"2,454","2,899","3,857","1,997","2,180","2,214","15,601","1,968","1,681","1,935","1,655","2,126","1,988","11,353",0,"26,954"
,,Renault-Nissan Alliance Total,"2,454","2,899","3,857","1,997","2,180","2,214","15,601","1,968","1,681","1,935","1,655","2,126","1,988","11,353",0,"26,954"
,Honda,Honda,"2,314","1,993","4,642","2,285","1,451","2,417","15,102","2,972","1,779",885,342,"1,958","3,109","11,045",0,"26,147"
,,Honda Total,"2,314","1,993","4,642","2,285","1,451","2,417","15,102","2,972","1,779",885,342,"1,958","3,109","11,045",0,"26,147"
,Suzuki,Suzuki,"5,280","5,525","7,059","5,840","5,119","4,526","33,349","5,494","4,512","3,414","5,232","5,678","4,487","28,817",0,"62,166"
,,Suzuki Total,"5,280","5,525","7,059","5,840","5,119","4,526","33,349","5,494","4,512","3,414","5,232","5,678","4,487","28,817",0,"62,166"
,Mazda,Mazda,438,458,647,341,371,318,"2,573",344,330,241,376,485,364,"2,140",0,"4,713"
,,Mazda Total,438,458,647,341,371,318,"2,573",344,330,241,376,485,364,"2,140",0,"4,713"
,Mitsubishi,Mitsubishi,472,707,836,385,375,421,"3,196",409,376,415,382,430,323,"2,335",0,"5,531"
,,Mitsubishi Total,472,707,836,385,375,421,"3,196",409,376,415,382,430,323,"2,335",0,"5,531"
,Subaru,Subaru,254,348,538,333,302,356,"2,131",403,331,369,283,211,95,"1,692",0,"3,823"
,,Subaru Total,254,348,538,333,302,356,"2,131",403,331,369,283,211,95,"1,692",0,"3,823"
,Small and Medium OEM,Other,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,1
,,Small and Medium OEM Total,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,1
,,Minivan Total,"16,746","18,285","25,845","18,081","15,734","18,645","113,336","18,919","14,535","14,329","14,687","18,787","17,220","98,477",0,"211,813"
Mini Trucks,Toyota Group,Toyota,320,401,466,745,642,400,"2,974",357,513,513,293,507,147,"2,330",0,"5,304"
,,Daihatsu,"6,317","6,836","9,013","7,050","6,487","7,764","43,467","7,826","5,305","7,233","4,821","5,925","4,366","35,476",0,"78,943"
,,Toyota Group Total,"6,637","7,237","9,479","7,795","7,129","8,164","46,441","8,183","5,818","7,746","5,114","6,432","4,513","37,806",0,"84,247"
,Renault-Nissan Alliance,Nissan,756,795,950,641,665,575,"4,382",646,521,694,372,623,521,"3,377",0,"7,759"
,,Renault-Nissan Alliance Total,756,795,950,641,665,575,"4,382",646,521,694,372,623,521,"3,377",0,"7,759"
,Honda,Honda,"2,189","2,425","3,335","1,960","1,348","1,033","12,290",652,425,394,294,223,169,"2,157",0,"14,447"
,,Honda Total,"2,189","2,425","3,335","1,960","1,348","1,033","12,290",652,425,394,294,223,169,"2,157",0,"14,447"
,Suzuki,Suzuki,"4,485","5,253","6,934","4,763","4,272","3,132","28,839","4,213","3,090","1,791","1,872","3,543","5,924","20,433",0,"49,272"
,,Suzuki Total,"4,485","5,253","6,934","4,763","4,272","3,132","28,839","4,213","3,090","1,791","1,872","3,543","5,924","20,433",0,"49,272"
,Mazda,Mazda,155,215,287,152,159,138,"1,106",148,112,76,61,173,149,719,0,"1,825"
,,Mazda Total,155,215,287,152,159,138,"1,106",148,112,76,61,173,149,719,0,"1,825"
,Mitsubishi,Mitsubishi,272,335,467,197,271,299,"1,841",327,198,203,116,155,209,"1,208",0,"3,049"
,,Mitsubishi Total,272,335,467,197,271,299,"1,841",327,198,203,116,155,209,"1,208",0,"3,049"
,Subaru,Subaru,343,444,445,315,400,433,"2,380",456,358,474,191,300,112,"1,891",0,"4,271"
,,Subaru Total,343,444,445,315,400,433,"2,380",456,358,474,191,300,112,"1,891",0,"4,271"
,Small and Medium OEM,Other,-,-,-,-,-,-,-,-,-,1,0,1,1,3,0,3
,,Small and Medium OEM Total,-,-,-,-,-,-,-,-,-,1,0,1,1,3,0,3
,,Mini Trucks Total,"14,837","16,704","21,897","15,823","14,244","13,774","97,279","14,625","10,522","11,379","8,020","11,450","11,598","67,594",0,"164,873"
Light Trucks,Toyota Group,Toyota,"10,913","12,958","18,385","11,725","10,522","13,557","78,060","13,719","11,081","12,732","9,730","12,612","10,356","70,230",0,"148,290"
,,Daihatsu,31,22,42,23,22,24,164,26,23,21,37,24,32,163,0,327
,,Hino,625,788,"1,245",468,561,951,"4,638",862,861,"1,031",831,910,"1,029","5,524",0,"10,162"
,,Toyota Group Total,"11,569","13,768","19,672","12,216","11,105","14,532","82,862","14,607","11,965","13,784","10,598","13,546","11,417","75,917",0,"158,779"
,Renault-Nissan Alliance,Nissan,"3,539","4,459","6,769","2,508","2,784","3,798","23,857","3,845","3,285","3,796","2,863","3,898","2,965","20,652",0,"44,509"
,,Renault-Nissan Alliance Total,"3,539","4,459","6,769","2,508","2,784","3,798","23,857","3,845","3,285","3,796","2,863","3,898","2,965","20,652",0,"44,509"
,Daimler Group (-2021),Mitsubishi Fuso (2004-21),815,"1,077","2,085",985,"1,122","1,599","7,683","1,220","1,074","1,299",704,557,865,"5,719",0,"13,402"
,,Daimler Group (-2021) Total,815,"1,077","2,085",985,"1,122","1,599","7,683","1,220","1,074","1,299",704,557,865,"5,719",0,"13,402"
,Mazda,Mazda,456,556,814,430,426,462,"3,144",494,385,506,485,375,297,"2,542",0,"5,686"
,,Mazda Total,456,556,814,430,426,462,"3,144",494,385,506,485,375,297,"2,542",0,"5,686"
,Mitsubishi,Mitsubishi,-,-,-,-,1,0,1,0,0,0,0,0,0,0,0,1
