"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"","","MINI","1195","1691","2527","1172","1138","1413","9136","1520","1392","1651","1038","1556","1918","9075","0","18211"
"","","Rolls-Royce","11","20","33","15","12","29","120","13","14","29","13","22","29","120","0","240"
"","Mazda","Mazda","9931","11442","19904","4926","4785","5791","56779","6067","5245","6665","6270","4884","9654","38785","0","95564"
"","Geely Holding Group","Volvo Cars (2011-)","1147","1261","2039","960","1198","1825","8430","1221","1039","1716","1105","1283","1843","8207","0","16637"
"","","Lotus (2017-)","11","23","38","16","12","36","136","19","33","34","21","20","25","152","0","288"
"","Mitsubishi","Mitsubishi","2651","2954","4930","1827","1460","1454","15276","1205","2019","2777","2061","1661","2471","12194","0","27470"
"","Subaru","Subaru","9543","8200","12800","5283","4680","5323","45829","6147","5529","4595","5594","7312","6348","35525","0","81354"
"","Tata Group","Land Rover (2008-)","301","230","688","346","602","654","2821","310","248","654","98","302","340","1952","0","4773"
"","","Jaguar (2008-)","36","75","155","59","130","111","566","117","73","165","35","53","50","493","0","1059"
"","Ferrari","Ferrari (2021-)","82","78","108","87","90","121","566","100","99","124","90","108","150","671","0","1237"
"","Aston Martin","Aston Martin (2008-)","30","47","60","40","31","35","243","26","23","27","26","16","27","145","0","388"
"","SAIC (Shanghai Automotive Industry Corporation (Group))","Rover","0","1","0","0","1","0","2","0","1","0","1","1","1","4","0","6"
"","Small and Medium OEM","McLaren","13","15","17","14","19","20","98","15","16","15","15","18","12","91","0","189"
"","","Morgan","0","2","1","0","0","1","4","2","0","0","0","0","0","2","0","6"
"","","Other","14","79","586","62","501","593","1835","443","525","536","409","557","891","3361","0","5196"
"Minivan","Toyota Group","Toyota","628","721","946","1188","1021","811","5315","710","874","952","723","568","155","3982","0","9297"
"","","Daihatsu","4906","5634","7320","5712","4915","7582","36069","6619","4652","6118","5693","7331","6699","37112","0","73181"
"","Renault-Nissan Alliance","Nissan","2454","2899","3857","1997","2180","2214","15601","1968","1681","1935","1655","2126","1988","11353","0","26954"
"","Honda","Honda","2314","1993","4642","2285","1451","2417","15102","2972","1779","885","342","1958","3109","11045","0","26147"
"","Suzuki","Suzuki","5280","5525","7059","5840","5119","4526","33349","5494","4512","3414","5232","5678","4487","28817","0","62166"
"","Mazda","Mazda","438","458","647","341","371","318","2573","344","330","241","376","485","364","2140","0","4713"
"","Mitsubishi","Mitsubishi","472","707","836","385","375","421","3196","409","376","415","382","430","323","2335","0","5531"
